J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC
-0.008057229,-0.017333299,-0.0068079,-0.0016250077,-0.007999266,-0.0012430805,-0.0014199615,0.0005754509,0.00021664475,-0.0005285429,0.00011312826,0.0003667344,7.9089965e-05,0.00013853604,-0.019413725,0.00061310787,9.1575464e-05
-0.004283631,-0.0021152748,0.012641936,0.0019290242,0.016795043,-0.0006532037,0.0012215205,0.00050796487,0.000246348,-0.0023783073,-0.003543589,-0.0010404333,0.0010818624,0.00017413685,0.0028314642,0.00027506152,0.00021491895
0.006978511,0.0071959817,-0.0062428783,-0.0009429038,-0.006623028,-0.00048495654,-0.00088593777,0.00076312287,0.00043218242,-0.00050942256,-3.560306e-05,0.000881547,5.7485508e-05,0.00023526284,0.0016593662,-0.00048906944,1.1659233e-05
0.00071733794,0.00057544064,0.0094236825,0.0006106881,-0.013441097,-4.6773297e-05,-0.001028254,0.0006211893,0.00030411006,0.0002108251,0.00020627434,0.00041506373,0.00013257562,-0.0006967785,0.0024973438,-0.00056546024,-0.00034710547
-0.004254965,-0.0018445229,0.011621639,-0.005582703,0.014102662,-0.0016588535,0.00035991194,0.00052731176,0.0002486704,-0.004102907,0.00030899348,-0.0012521534,0.0010296836,0.00017997265,0.0027494794,0.00032487558,-1.0497058e-05
0.007066164,0.0076549663,-0.006150329,-0.0007848149,-0.007522246,-0.00042888476,-0.00091453985,0.0007900049,0.00045255385,-0.001012332,0.00021368031,1.7565098e-05,0.0010955508,0.00027065247,0.0033847652,-0.00045107552,0.0001968691
-0.0044424185,-0.002617954,-0.008065913,-0.0011503638,-0.003555063,0.00045352074,0.0012608826,0.0008120797,0.00018071855,-0.0024172582,0.00013881677,0.00029567193,-7.809368e-05,0.0001533089,0.0006081652,-0.00038409888,-0.0001804657
-0.0054035513,-0.013563431,-0.007770535,-0.0014471259,-0.0038695175,0.00017675602,0.0001818538,0.0007643185,0.00021830933,-0.0004671615,0.0002389586,-0.00048977917,0.00016112278,0.00014487053,-0.007343672,-0.00040504575,1.9704952e-05
0.000691455,0.0009291425,0.01682612,0.004948838,0.019765994,-0.0024454687,-0.000905024,-0.0007897596,0.00025479723,0.00405808,0.00039103604,-0.0020153502,0.00038532467,0.00011901157,-0.00055021414,-0.0007636856,9.3316316e-07
0.005597603,0.005394077,-0.010764672,-0.0012786401,-0.007497182,0.000638863,-0.0009585884,0.00038990664,0.0003688832,-0.0005858519,0.00018532299,4.2828076e-05,0.0010429958,0.00022053796,0.0014536952,-0.0004978085,-4.674269e-05
0.006505689,0.0067330487,-0.004281215,-0.0013935126,-0.008113853,-0.0014352722,0.0009785764,0.0008103353,0.00042518543,-0.0006619604,0.00021329617,-0.00042483854,0.000830596,0.00026444346,0.003226411,-0.00015357068,-0.0012516174
0.0017065788,0.001963358,0.019003479,0.005407581,0.020933105,0.00084329926,0.0013763456,0.00039763268,0.0003480166,0.006380748,0.00043921501,1.388993e-05,-0.00015679764,0.00018973951,0.0025037413,-0.0004947431,0.00042954308
0.0072812275,0.0077665327,0.019477155,0.0067008464,0.021636596,-0.00095539103,-0.0008537122,-0.004983492,0.00051086786,0.006088165,0.0005446317,0.0015304998,0.0014304456,0.00025356005,0.0041064965,0.00077347894,7.8239405e-05
-0.0046169544,-0.002618756,-0.016866997,-0.0014626529,-0.007825846,-0.00053833425,-0.0014773093,0.00058211776,0.0002024206,-0.00237988,-0.0018998524,0.00035754693,0.0010337946,0.00012979074,-0.015669644,0.00022247949,3.8877053e-05
-0.0047483817,-0.0028298737,-0.008088784,-0.0024490254,-0.0068364725,1.4605619e-05,0.0006019406,0.00076959137,0.00019242708,-0.0026391423,0.00022313531,0.00022420683,-0.002003897,0.00015735254,-0.00022516098,-0.0006232077,-5.806788e-05
0.0069095087,0.007576852,0.018713135,0.0055653513,0.020026252,0.0015995569,0.0008639228,0.00043374216,0.00042559011,0.006129878,-0.0002777538,0.0015445421,0.0014337086,0.00026656233,0.0041328864,0.00068484264,0.00057140726
6.460382e-05,0.0012751255,-0.011004758,-0.0012970448,-0.0126625495,0.00014619081,-0.0014338404,-0.010908459,3.173247e-05,-0.0026734932,0.00022027714,0.0004643844,0.0008261305,-0.010104748,0.0011228934,0.00037550135,-0.00056397985
-0.0017303172,0.0004210553,0.014631995,0.002749214,0.019062506,0.0015514311,-0.0016852852,0.00047666568,0.0003055098,-0.0025803796,0.00047438501,0.00063630124,0.0013955219,0.0001952341,0.0030217827,0.001055088,2.5855281e-05
0.0045273234,0.0048820954,-0.014296913,-0.0014147941,-0.007589377,-0.0005991302,0.0003002012,0.00063463725,0.00035113076,-0.0004345109,0.00014794277,-0.0010005423,0.0009295676,0.00018330142,0.0009566993,-0.0003385059,-7.843167e-06
-0.01527645,-0.020340158,-0.0144981,-0.0020399422,-0.007538847,-0.00052521564,0.00037197996,0.00049485354,0.00014232728,-0.0016872401,0.00025711933,5.2500756e-05,-0.0005542542,7.676791e-05,-0.012866843,0.00047985345,7.1592556e-05
