J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PoutH2,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC,Utot
0.6998123,69.98123,24.640472,37.334213,43.21913,50.691128,53.400555,55.13897,1300.9982,1266.2086,1299.7113,1286.8661,4.7936854,2.1221044,23.037554,21.348013,2.0181456,52.781197,3.3320756
0.69989,69.989,24.686224,37.37372,43.21312,50.790398,53.454407,55.184433,1300.7008,1266.0966,1299.7126,1286.7898,4.7936516,2.1197367,23.037218,21.335276,2.01398,52.667576,3.3302815
0.69996333,69.99633,24.728693,37.41233,43.207943,50.881752,53.504295,55.226463,1300.4318,1265.9978,1299.7029,1286.7069,4.7936254,2.117548,23.036913,21.323706,2.0101478,52.563198,3.3285065
0.7000323,70.00323,24.76788,37.45005,43.20361,50.9652,53.55023,55.265057,1300.1908,1265.9125,1299.6824,1286.6178,4.793607,2.1155384,23.036636,21.313305,2.0066493,52.46807,3.32675
0.7000969,70.00969,24.803783,37.48688,43.20011,51.04073,53.592194,55.300213,1299.9781,1265.8403,1299.6508,1286.5221,4.7935977,2.1137075,23.036388,21.304071,2.0034845,52.382187,3.3250127
0.70015717,70.01572,24.836405,37.522816,43.197456,51.108345,53.6302,55.331936,1299.7937,1265.7816,1299.6082,1286.4199,4.793596,2.1120555,23.03617,21.296005,2.0006533,52.305553,3.3232944
0.7002131,70.02131,24.865746,37.55786,43.195637,51.16805,53.664246,55.360226,1299.6375,1265.7363,1299.5546,1286.3114,4.793602,2.1105828,23.03598,21.28911,1.9981557,52.238163,3.321595
0.70026463,70.02647,24.891802,37.59201,43.19466,51.21984,53.694332,55.38508,1299.5095,1265.7042,1299.4901,1286.1964,4.7936163,2.1092887,23.03582,21.28338,1.9959918,52.180016,3.3199143
0.70031184,70.03119,24.914576,37.62527,43.19452,51.26372,53.72045,55.406494,1299.4098,1265.6855,1299.4146,1286.0751,4.793639,2.1081738,23.035688,21.27882,1.9941616,52.13112,3.3182528
0.7003547,70.03547,24.934067,37.65764,43.19522,51.299686,53.742615,55.424477,1299.3383,1265.6802,1299.3281,1285.9471,4.7936697,2.1072378,23.035587,21.275427,1.992665,52.091465,3.31661
0.7003932,70.03932,24.950275,37.689117,43.19676,51.32774,53.760815,55.439026,1299.2949,1265.6881,1299.2307,1285.8129,4.793709,2.1064808,23.035513,21.273203,1.9915022,52.06106,3.3149862
0.7004171,70.04171,24.952463,37.671524,43.19375,51.24911,53.711685,55.387493,1299.1514,1265.4598,1298.6709,1285.204,4.793787,2.1043086,23.035658,21.270144,1.9897248,52.18801,3.31282
0.7004572,70.04572,24.955303,37.706554,43.206562,51.25362,53.723186,55.394814,1299.2076,1265.5027,1298.3105,1284.7349,4.793875,2.1059885,23.035698,21.269686,1.9891102,52.184128,3.3112037
0.7004841,70.04841,24.962826,37.709774,43.21645,51.264202,53.73097,55.40155,1299.4768,1265.705,1298.6189,1285.0004,4.7939177,2.1050599,23.035645,21.273842,1.9829046,52.19689,3.309808
0.700496,70.04961,24.968872,37.730896,43.219337,51.26377,53.74128,55.410255,1299.149,1265.4183,1298.6329,1284.9219,4.7941337,2.1048665,23.035877,21.280989,1.9777244,52.152733,3.308231
0.7005248,70.05248,24.968224,37.75265,43.244415,51.275078,53.75015,55.42174,1299.1554,1265.4485,1298.6094,1284.8533,4.794183,2.1029587,23.035969,21.28868,1.9812926,52.147114,3.3069093
0.70053,70.05299,24.9606,37.79569,43.264473,51.27774,53.758118,55.427307,1299.5999,1265.8402,1298.6432,1284.9491,4.793372,2.106901,23.035906,21.291124,1.9838592,52.13611,3.3055182
0.7005281,70.05281,24.964312,37.837833,43.26469,51.288113,53.76104,55.4278,1299.8019,1266.0613,1299.233,1285.5659,4.793754,2.1080463,23.035864,21.297356,1.9888611,52.13762,3.3044188
0.7005417,70.05417,24.9713,37.861355,43.253223,51.284195,53.754818,55.42252,1299.8241,1266.0615,1299.5818,1285.9827,4.794153,2.1141248,23.035765,21.30079,1.9972936,52.14607,3.3032992
